SKU_Input,PartNum,ProductName,DBP_ex_GST,DBP_inc_GST,RRP_ex_GST,RRP_inc_GST,Available_SYD,Available_MEL,Available_BRS,Available_ADL,Available_WA,Status
NWG-WGT1160085,NWG-WGT1160085,WatchGuard Total Security Suite for Firebox T115-W - 5-Year,3456,3801.6,4318.18,4750,0,0,0,0,0,OK
NWG-WGT1160203,,,,,,,,,,,,NOT FOUND
NWG-WGT1160205,,,,,,,,,,,,NOT FOUND
NWG-WGT1160211,,,,,,,,,,,,NOT FOUND
NWG-WGT1160213,,,,,,,,,,,,NOT FOUND
NWG-WGT1160215,,,,,,,,,,,,NOT FOUND
NWG-WGT125000,NWG-WGT125000,WatchGuard Firebox T125 Appliance Only – License Not Included (Requires Separate WG License Purchase),320,352,345.6,380.16,11,0,0,0,0,OK
NWG-WGT1250061,NWG-WGT1250061,WatchGuard Standard Support for Firebox T125 - 1-Year,467,513.7,917.27,1009,0,0,0,0,0,OK
NWG-WGT1250063,NWG-WGT1250063,WatchGuard Standard Support for Firebox T125 - 3-Year,873,960.3,1390,1529,0,0,0,0,0,OK
NWG-WGT1250065,NWG-WGT1250065,WatchGuard Standard Support for Firebox T125 - 5-Year,1279,1406.9,2198.18,2418,0,0,0,0,0,OK
NWG-WGT1250071,NWG-WGT1250071,WatchGuard Basic Security Suite for Firebox T125 - 1-Year,646,710.6,1125.45,1238,0,0,0,0,0,OK
NWG-WGT1250073,NWG-WGT1250073,WatchGuard Basic Security Suite for Firebox T125 - 3-Year,1211,1332.1,1784.55,1963,0,0,0,0,0,OK
NWG-WGT1250075,NWG-WGT1250075,WatchGuard Basic Security Suite for Firebox T125 - 5-Year,2202,2422.2,2938.18,3232,0,0,0,0,0,OK
NWG-WGT1250081,NWG-WGT1250081,WatchGuard Total Security Suite for Firebox T125 - 1-Year,1076,1183.6,1627.27,1790,0,0,0,0,0,OK
NWG-WGT1250083,NWG-WGT1250083,WatchGuard Total Security Suite for Firebox T125 - 3-Year,2048,2252.8,2760,3036,0,0,0,0,0,OK
NWG-WGT1250085,NWG-WGT1250085,WatchGuard Total Security Suite for Firebox T125 - 5-Year,3714,4085.4,4701.82,5172,0,0,0,0,0,OK
NWG-WGT1250203,,,,,,,,,,,,NOT FOUND
NWG-WGT1250205,,,,,,,,,,,,NOT FOUND
NWG-WGT1250211,,,,,,,,,,,,NOT FOUND
NWG-WGT1250213,,,,,,,,,,,,NOT FOUND
NWG-WGT1250215,,,,,,,,,,,,NOT FOUND
NWG-WGT126000,NWG-WGT126000,WatchGuard Firebox T125-W Appliance Only – License Not Included (Requires Separate WG License Purchase),369,405.9,398.52,438.372,9,0,0,0,0,OK
NWG-WGT1260061,NWG-WGT1260061,WatchGuard Standard Support for Firebox T125-W - 1-Year,578,635.8,1103.64,1214,0,0,0,0,0,OK
NWG-WGT1260063,NWG-WGT1260063,WatchGuard Standard Support for Firebox T125-W - 3-Year,1070,1177,1677.27,1845,0,0,0,0,0,OK
NWG-WGT1260065,NWG-WGT1260065,WatchGuard Standard Support for Firebox T125-W - 5-Year,1562,1718.2,2642.73,2907,0,0,0,0,0,OK
NWG-WGT1260071,NWG-WGT1260071,WatchGuard Basic Security Suite for Firebox T125-W - 1-Year,799,878.9,1360.91,1497,0,0,0,0,0,OK
NWG-WGT1260073,NWG-WGT1260073,WatchGuard Basic Security Suite for Firebox T125-W - 3-Year,1476,1623.6,2150,2365,0,0,0,0,0,OK
NWG-WGT1260075,NWG-WGT1260075,WatchGuard Basic Security Suite for Firebox T125-W - 5-Year,2669,2935.9,3540.91,3895,0,0,0,0,0,OK
NWG-WGT1260081,NWG-WGT1260081,WatchGuard Total Security Suite for Firebox T125-W - 1-Year,1316,1447.6,1963.64,2160,0,0,0,0,0,OK
NWG-WGT1260083,NWG-WGT1260083,WatchGuard Total Security Suite for Firebox T125-W - 3-Year,2472,2719.2,3310.91,3642,0,0,0,0,0,OK
NWG-WGT1260085,NWG-WGT1260085,WatchGuard Total Security Suite for Firebox T125-W - 5-Year,4477,4924.7,5648.18,6213,0,0,0,0,0,OK
NWG-WGT1260203,,,,,,,,,,,,NOT FOUND
NWG-WGT1260205,,,,,,,,,,,,NOT FOUND
NWG-WGT1260211,,,,,,,,,,,,NOT FOUND
NWG-WGT1260213,,,,,,,,,,,,NOT FOUND
NWG-WGT1260215,,,,,,,,,,,,NOT FOUND
NWG-WGT145000,NWG-WGT145000,WatchGuard Firebox T145 Appliance Only – License Not Included (Requires Separate WG License Purchase),486,534.6,524.88,577.368,9,0,0,0,0,OK
NWG-WGT1450061,NWG-WGT1450061,WatchGuard Standard Support for Firebox T145 - 1-Year,830,913,1533.64,1687,0,0,0,0,0,OK
NWG-WGT1450063,NWG-WGT1450063,WatchGuard Standard Support for Firebox T145 - 3-Year,1476,1623.6,2286.36,2515,0,0,0,0,0,OK
NWG-WGT1450065,NWG-WGT1450065,WatchGuard Standard Support for Firebox T145 - 5-Year,2208,2428.8,3145.45,3460,0,0,0,0,0,OK
NWG-WGT1450071,NWG-WGT1450071,WatchGuard Basic Security Suite for Firebox T145 - 1-Year,1113,1224.3,1863.64,2050,0,0,0,0,0,OK
NWG-WGT1450073,NWG-WGT1450073,WatchGuard Basic Security Suite for Firebox T145 - 3-Year,2060,2266,2967.27,3264,0,0,0,0,0,OK
NWG-WGT1450075,NWG-WGT1450075,WatchGuard Basic Security Suite for Firebox T145 - 5-Year,3727,4099.7,4910,5401,0,0,0,0,0,OK
NWG-WGT1450081,NWG-WGT1450081,WatchGuard Total Security Suite for Firebox T145 - 1-Year,1747,1921.7,2601.82,2862,0,0,0,0,0,OK
NWG-WGT1450083,NWG-WGT1450083,WatchGuard Total Security Suite for Firebox T145 - 3-Year,3481,3829.1,4623.64,5086,0,0,0,0,0,OK
NWG-WGT1450085,NWG-WGT1450085,WatchGuard Total Security Suite for Firebox T145 - 5-Year,6334,6967.4,7949.09,8744,0,0,0,0,0,OK
NWG-WGT1450203,,,,,,,,,,,,NOT FOUND
NWG-WGT1450205,,,,,,,,,,,,NOT FOUND
NWG-WGT1450211,,,,,,,,,,,,NOT FOUND
NWG-WGT1450213,,,,,,,,,,,,NOT FOUND
NWG-WGT1450215,,,,,,,,,,,,NOT FOUND
NWG-WGT146000,NWG-WGT146000,WatchGuard Firebox T145-W Appliance Only – License Not Included (Requires Separate WG License Purchase),541,595.1,584.28,642.708,7,0,0,0,0,OK
NWG-WGT1460061,NWG-WGT1460061,WatchGuard Standard Support for Firebox T145-W - 1-Year,1045,1149.5,1850,2035,0,0,0,0,0,OK
NWG-WGT1460063,NWG-WGT1460063,WatchGuard Standard Support for Firebox T145-W - 3-Year,1820,2002,2751.82,3027,0,0,0,0,0,OK
NWG-WGT1460065,NWG-WGT1460065,WatchGuard Standard Support for Firebox T145-W - 5-Year,2694,2963.4,3777.27,4155,0,0,0,0,0,OK
NWG-WGT1460071,NWG-WGT1460071,WatchGuard Basic Security Suite for Firebox T145-W - 1-Year,1390,1529,2250.91,2476,0,0,0,0,0,OK
NWG-WGT1460073,NWG-WGT1460073,WatchGuard Basic Security Suite for Firebox T145-W - 3-Year,2521,2773.1,3570,3927,0,0,0,0,0,OK
NWG-WGT1460075,NWG-WGT1460075,WatchGuard Basic Security Suite for Firebox T145-W - 5-Year,4526,4978.6,5905.45,6496,0,0,0,0,0,OK
NWG-WGT1460081,NWG-WGT1460081,WatchGuard Total Security Suite for Firebox T145-W - 1-Year,2140,2354,3124.55,3437,0,0,0,0,0,OK
NWG-WGT1460083,NWG-WGT1460083,WatchGuard Total Security Suite for Firebox T145-W - 3-Year,4231,4654.1,5561.82,6118,0,0,0,0,0,OK
NWG-WGT1460085,NWG-WGT1460085,WatchGuard Total Security Suite for Firebox T145-W - 5-Year,7650,8415,9546.36,10501,0,0,0,0,0,OK
NWG-WGT1460203,,,,,,,,,,,,NOT FOUND
NWG-WGT1460205,,,,,,,,,,,,NOT FOUND
NWG-WGT1460211,,,,,,,,,,,,NOT FOUND
NWG-WGT1460213,,,,,,,,,,,,NOT FOUND
NWG-WGT1460215,,,,,,,,,,,,NOT FOUND
NWG-WGT185000,NWG-WGT185000,WatchGuard Firebox T185 Appliance Only – License Not Included (Requires Separate WG License Purchase),959,1054.9,1035.72,1139.292,48,1,4,4,2,OK
NWG-WGT1850061,NWG-WGT1850061,WatchGuard Standard Support for Firebox T185 - 1-Year,1679,1846.9,3009.09,3310,0,0,0,0,0,OK
NWG-WGT1850063,NWG-WGT1850063,WatchGuard Standard Support for Firebox T185 - 3-Year,3001,3301.1,4517.05,4968.75,0,0,0,0,0,OK
NWG-WGT1850065,NWG-WGT1850065,WatchGuard Standard Support for Firebox T185 - 5-Year,5375,5912.5,7223.86,7946.25,0,0,0,0,0,OK
NWG-WGT1850071,NWG-WGT1850071,WatchGuard Basic Security Suite for Firebox T185 - 1-Year,2239,2462.9,3646.59,4011.25,0,0,0,0,0,OK
NWG-WGT1850073,NWG-WGT1850073,WatchGuard Basic Security Suite for Firebox T185 - 3-Year,4157,4572.7,5835.23,6418.75,0,0,0,0,0,OK
NWG-WGT1850075,NWG-WGT1850075,WatchGuard Basic Security Suite for Firebox T185 - 5 -Year,7515,8266.5,9664.77,10631.25,0,0,0,0,0,OK
NWG-WGT1850081,NWG-WGT1850081,WatchGuard Total Security Suite for Firebox T185 - 1-Year,3751,4126.1,5372.73,5910,0,0,0,0,0,OK
NWG-WGT1850083,NWG-WGT1850083,WatchGuard Total Security Suite for Firebox T185 - 3-Year,7023,7725.3,9103.41,10013.75,0,0,0,0,0,OK
NWG-WGT1850085,NWG-WGT1850085,WatchGuard Total Security Suite for Firebox T185 - 5-Year,12761,14037.1,15646.59,17211.25,0,0,0,0,0,OK
NWG-WGT18501601,NWG-WGT18501601,WatchGuard  Standard Support for Firebox T185 High Availability - 1-Year,627,689.7,1809.09,1990,0,0,0,0,0,OK
NWG-WGT18501603,NWG-WGT18501603,WatchGuard  Standard Support for Firebox T185 High Availability - 3-Year,1421,1563.1,2713.64,2985,0,0,0,0,0,OK
NWG-WGT18501605,NWG-WGT18501605,WatchGuard  Standard Support for Firebox T185 High Availability - 5-Year,2853,3138.3,4347.73,4782.5,0,0,0,0,0,OK
NWG-WGT1850203,,,,,,,,,,,,NOT FOUND
NWG-WGT1850205,,,,,,,,,,,,NOT FOUND
NWG-WGT1850211,,,,,,,,,,,,NOT FOUND
NWG-WGT1850213,,,,,,,,,,,,NOT FOUND
NWG-WGT1850215,,,,,,,,,,,,NOT FOUND
NWG-WGT26000,NWG-WGT26000,WatchGuard Firebox T25-W Appliance Only – License Not Included (Requires Separate WG License Purchase),510,561,550.8,605.88,4,0,0,0,0,OK
